,stars,body,date
11,5.0,"Writing a review after extensive usage for over two years. This guitar is absolutely one of the best buys ever. Rs. 2000 is an absolute steal. I have a Fender FC and a Yamaha F310 and bought this one since I relocated to another city for two years, and wanted a spare guitar I can junk.Guitar is in perfect shape and I won't be junking it ! Stays tuned for atleast 2-3 days with lots of playing (8-10 hours). Stays tuned afterward too but may need to fine tune. Tone quality is decent. Again, an absolute steal for 2000 rupees.Among companies like Juarez, most of their guitars are good but there can be a chance that you may get 1/10 pieces that are defective. Else it you get a well made piece, this is a great buy",7 June 2020
12,5.0,Excellent product. Its my first guitar. And also the delivery was quick. I got the delivery within 2 days.,18 May 2018
13,4.0,"The media could not be loaded.
                



 I purchased this product for ₹1649 in Amazon Great Indian Festival.This guitar is totally awesome for beginners. Build quality is super. Quite best stuff at this range of price. I was worried about the delivery of this product, thought that there may be damages while handling this product from the place of origin to the destination place . But all went wellA total thumbs down for packing👎👎The outer box wasn't sealed well with Amazon's packing tape and the bill was totally crushed.",21 October 2018
14,4.0,"I did not get a pick. i had to buy it from local market. otherwise the guitar is great. i am a begineer. i loved it. top review says it should have that and this and all but i actually dont have more money to spend for all that extra good quality features, so all i have is 2000, and i am getting a guitar for that is itself a good thing for me. i will just hang it on the wall so it looks good, but don't tell me its not good.",29 June 2019
15,5.0,"The media could not be loaded.
                



 If you are a beginner then this guitar is very good for you 👍",3 February 2022
16,4.0,It was delivered 2 days earlier... Nice Delivery.. The product was also in perfect condition and perfect quality.. But one problem was in the string.. One of the string broke just after 2-3 hours.. Else its good..you should buy it.!!,3 December 2017
17,3.0,this is a good thing that one can have a guitar at this price but please don't buy if you are at learning stage as the space between the fret and strings is too high which is not a good thing. This is ok for casual play or to just to show off,27 November 2018
18,5.0,Hi .. This is the most awesome guitar for the begginersthe product really works well and also well designed.. Worthy product at this price.. If u r looking a guitar for practice blindly go ahead and order this guitar ..,19 January 2018
19,1.0,Product is not good. delicate and not so good sound. Amazon was great to give me refund back on time.,28 September 2018
20,2.0,No doubt the price is too good. But if you want to gift someone or you wana just hang it on the wall you can buy it but if you wana learn guitar my watching you tube videos then do not buy the guitar as it is small and the channels are very less in this guitar. You cannot learn buy the guitar in the price range of 4000 thats a perfect guitar for learning.,5 January 2019
21,1.0,"This was an intended birthday present for a 13 year old music loving boy.I ordered it online for a friend in advance (she doesn't do online shopping).The return window is closed. The kid has his birthday. These are the pics I get.As it was a birthday gift, I did not open the carton.Now we are stuck with a new broken guitar and a broken dream.Such a shame!",4 December 2018
22,1.0,I'm reviewing this after 2 years.If you don't know how to play guitar you may like this at first impression.I thought I'll learn playing this then later buy a good one but this was worse decision.After playing for 3-4 months action got high and can't be correct because there is no truss rod.I recommend you do not ever buy any guitar without truss rod and also buy a decent guitar even for learning.It's not matter you are beginner or master everyone should have good gear.True thing is that have started playing with this guitar only so faced too much difficulty I wish you don't need to face the same.I'm Engineer and you know every engineer have a dream to play guitar 😁I recommend you to buyCort ad810Cort af510Yamaha f310/f280 (both is same)These all are under 10K,14 July 2020
23,4.0,"The media could not be loaded.
                



 I am bit disappointed beacause product was damaged ,Soundbox was damaged on top, IRecord unboxing this Product  for evidence,.",6 June 2021
24,1.0,"The media could not be loaded.
                



 The space between strings and fretboard is too much, Hence it will start making a buzzing sound within days, I got it yesterday and today it's making buzzing sound 🤦‍♀️ also due to too much space you'll need to press the strings way too hard which will hurt your fingers plus it makes playing guitar difficult. Action of guitar is not good. Truss road is not adjustable. Would not recommend this at all. Specially to beginners.It's cheap and looks good. Packaging and delivery service were also good. You can prolly buy it for photoshoot or as a showpiece though.  Don't buy it for playing or learning guitar.",12 January 2021
25,5.0,"I'm writing this a couple of days after delivery, and so far, I haven't had any trouble.Delivery-I'm very pleasantly surprised; it arrived within 24 hours as promised. Prime ftw.The packing was immaculate. A hard box, with the guitar covered and bubble-wrapped. The guitar bag was wrapped up in the box, along with the plectrums (0.71 mm), extra strings, and the guitar strap. The guitar itself was largely intact; it had a couple of tiny scratches, but they're so small, I couldn't even get a clear enough picture. It has metal strings and the knobs turn smoothly without resistance. Tuning the guitar didn't take long, and the resonance sounds pretty great.It's a simple sort of an instrument, without the frills of a Fender acoustic to adjust volume and tone, but for about 2k, with all the add-ons, I think it's an absolute steal.",19 November 2018
26,5.0,"If you are a complete beginner and wish to start from a budget friendly Guitar, the this will perfectly suit you. The quality of the Guitar is amazing. Don't even think about anything else if you are tigh on budget. It's amazing. Got for ₹1,700 on sale.The delivery of the product was amazing. There was no way this could get damaged in transit.",14 October 2018
27,1.0,I had a very pathetic experience with this guitar.Don't buy this. Please read this completely.Disadvantages are as below1) strings are very tight and hard2) low quality strings3) sound quality average4) tuning pegs gets hard with time5) very small frets6) more gap between the fretboard and the strings.7) asymmetrical8) strings are very hard and it gives burning sensations every time i play the guitar.,4 June 2020
28,1.0,It looks beautiful if you are new to guitar like mebut if you know abc of guitar u will came to know you have been cheatedinside truss is missingscrew for adjustment of string is missingbiggest thing  hurt me is it was band in shape but finishing and other looks is excellentGood for Photo Shoot only,8 November 2019
29,5.0,"I have recieved this product and after analyzing the points are :-1. PACKING:- the packing was so good that there wasn't a scratch or dent on the outer part.2. CLOSING:- The guitar was enclosed in polythene, then a thick translucent white polythene cover, then by a cardboard box, first by the seller Juarez and over it amazon branding polythene.3. INSIDES:- there was a guitar, A cover, Two Pick 0.71mm, Guitar Shoulder Strap and 6 Strings.4. GUITAR:- The guitar was glossy, no scratch, no dent, no damage. CHECKED from all angles and with flash and light. The guitar received with fully precised packing and handling.5. PRODUCT REVIEW:- The strings were not tuned which is a good thing, you can tune as per your convenience. After tuning it sounds good, the eco and vibrations are quite lovely.Feedback:- If you are a beginer and wants your hands on a good guitar in best budget, this is what you are looking for. Buy it I will say.",3 September 2020
30,1.0,It broke my left eye. While tuning the cheap sting broke on my face like whip. I am hurt. Please guys don't buy. The extra stings they have provided doesn't have 6th string. 5th amd 6 th sting are same. I was trying to tune. It got my eye. Now its paining.,11 February 2020
31,1.0,The first product I ordered had messed up string so j returned it.  As I got its replacement it's damaged. Either it's the manufacturer mistake or @ecomexpress mistake I don't know. But it sucks.Product however is worth it as my friend is still using the same product. I would suggest to go a nearby store and buy it firsthand NO WAITING AND ALL THIS RETURNIG RECEIVING STRUGGLE,24 September 2019
32,3.0,"Good presentation.Average built quality.Average sound quality.In less than 2k it's worth the money.If you are a beginner like me who don't have more than 2k, can buy this Guitar or If you are like me who's not sure whether you can make a habit of playing guitar every day can buy this. But if you get serious about learning Guitar eventually in few months you have to upgrade this.",9 August 2019
33,1.0,"This product is not worthy enough to purchase. It's heavily coated with paint to hide the flaws, however after 3 days of keeping it in the same cardboard box in which it was delivered the paint which was already coming out a bit, started to come out a lot on its own revealind the actual material used, the neck of the guitar and most of the material is plastic, not wood. I took the guitar to a professional who confirmed it and clearly said that even the sound from this guitar is not accurate or even close to 'accurate'. I didn't play it yet, took it to get tuned, and it turns out that it cannot be tuned properly as well. The strings even after tightening are loosing their grip and as a result after a point it will break or come out as per what the professional told me. Its not worth at all.. it'd be better to move it and go to a shop and purchase it in person. This is not for either 'Beginners' or anyone.. WORST PRODUCT EVER ORDERED! AND I WANT MY MONEY BACK.. I saved money especially for a guitar and now i regret ordering it..",21 July 2021
34,5.0,Received everything intact in the package. Brand new guitar. Excellent quality for the price. My daughter is extremely happy with her gift. Highly recommended for beginners. Will have to see its longevity.,27 January 2018
35,5.0,"I absolutely love this guitar. It sounds perfect. Also, it comes with a spare set of strings. This is a great product for someone who is just starting to play the instrument and does not have much experience. Altogether, it is worth buying at such a discounted price.",19 February 2019
36,5.0,Product is awsmVery good for beginners like me if you are beginner and dont know anything about guitar than go for this product really value for money .,11 September 2017
37,1.0,"4 of my students already purchased this guitar before coming to me for classes and there are lot of issues in this guitar. For starters, intonation is really bad (which means 'besura' notes in layman's language) The bridge will come out after few months because the quality is cheap. One student has already faced this issue. There is no 'truss rod' as well which means there is no way to adjust action. And there are many more issues which a non-musician won't understand. If you go on OLX, you'll find many of this same guitar lying there to be sold 2nd hand because after joining guitar class and showing it to their guitar teacher, students realize how horrible the guitar is. A humble request for beginners - please don't buy guitar BEFORE joining guitar class. Your guitar teacher doesn't deserve that kind of torture to their EARS! 🤣 Ask your teacher first, and then buy. Don't trust your own judgement. Just because something makes SOUND doesn't mean it's good to use. This is more like a toy, not a guitar. Don't trust the reviews here as well. Majority of these reviews are written by beginners who have bad or average music-sense! Also, kindly upvote this review (click on the helpful button so that it appears on top) I am fed up of seeing this guitar in my class. If I see one more of this guitar in my class I swear I'll go crazy! Click on the HELPFUL button. I want every damn beginner in the world to read this!",27 March 2022
38,5.0,Purchased this a year ago and gifted to my love. Happy with thia purchase as it is still in good condition. Thanks amazon,23 April 2018
39,4.0,The product is shorter than most. Its the best for beginners to learn and it also has extra strings and 2 picks with a bag and a strap.If you are looking for a wat to pass time in learning guitar this is the best way to go.,13 August 2017
40,1.0,"I've played a handful of guitars before. This is the worst I've ever touched with my hand.!It's no good even for beginners. The fretboard is so small so that you won't be able to play any chord without annoyed by the fingers touching other strings. The action is extremely high which will result in not just pain, 'injuries' in your fingertips.And the main problem I faced - the low e string is placed out of the fretboard so it cannot be played at all. Refer the picture.The sound quality is fine and comes in a cheap packaging. But considering the quality of the product inside - that's fine.If you are looking for a toy or decoration for your home, you can choose this.If you want to learn or play a guitar, spend a little more money and get a better one",3 June 2020
41,5.0,"It is easy to use and light weight guitar.You can send the features here:-Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 PicksGreat looks with an innovative design to produce good quality soundFinger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, CutawayIncluded components: Acoustic Guitar with strap, Bag, Strings and 2 PicksLinden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel StringsI Hope you like my review please 👍👍👍",21 June 2019
42,1.0,Very bad. Please my comments. Never buy this guitar in your life. E string will break. So bad quality. Can't tune that string either. Did not get bag and accessories also first time. On return I got the accessories. But the B and E string were not getting tuned proper again. The tuner knob doesn't retain tension well on the strings.,20 November 2020
43,5.0,"At this price, you kidding me?It is just awesome. Product awesome and delivery awesome.I got everything at 2490. Not bad, huh?",26 July 2017
44,5.0,"The media could not be loaded.
                



 Good for absolute beginners who doesn't know how to even hold a guitar. It's light weight & handy. Base is good.I recommend not to buy if you already have a guitar because it's for beginners only & if you have any guitar & know how to play then you won't like it that much.Overall it's good for initial stage.",18 August 2020
45,1.0,"the strings are way too high, when you press it your fingers will hurt and its very hard to play as you have to press so much and its much different than other guitar where you just pretty much have to touch on the frets. But also my cousin had another guitar of the same brand and it was pretty fine, it was also of the same price but a blue colored one.",21 August 2021
46,4.0,No doubt for beginners it is bestGood Sound QualityThe size is little bit smaller than the regular one.i would have given in 5 out of 5 but i didn't cause at first the delivery period was so long i took about 10 days and i too got one scratch at the edge of the guiter and little broken at backside of it....the packaging was not so good.Only covered with a thin tharmocoal layer and plastic...it must be covered with the thik tharmocoal and bubble wrapper too.Anyways for beginners i would suggest this....And yes it's only about 2000 what could you more expect??!! Just Go For It...i hope you get safe product.Thank YouKeep Music Alive,28 October 2020
47,4.0,"1)Packaging delivery was all good,It's good for money.But not recommended.I read the same reviews but was on a tight budget and hurry.Hence made a mistake.2)Even for a beginner don't buy.Only preferred for children for FUN PURPOSES ONLY.3)Every 2 weeks you need to tighten the strings to get the std sound.And the more you tighten it more the handle will bend to front side as the wood will not be able to withstand the pressure.Which is not at all good.P.S.-If you really wanna learn join classes who provide their guitar for practice and then with some more bucks have something authentic afterwards.",17 August 2019
48,5.0,"Excellent product at this cost..While tuning the guitar don't use any app,go to a guitar shop and ask the personnel's there to tune it..Amazon delivered within 4 days..Bag ,picks,belt,additional strings are included inside the bags front zip...Go for it..",19 August 2017
49,2.0,Well . If you are a professional u will probably not prefer this guitar .As the guitar stays in the fulfillment center for long with time the neck gets bentAnd there is no Trust Rod in the Guitar to adjust it .If you are a beginner who knows nothing about guitarAnd just want to learn it and isn't looking for a guitar for a long time purpose u can go ahead and purchase it .,8 September 2019
50,4.0,"It is good guitar for extreme beginners. The action is kind of very high and you can feel it while playing. But the sound it creates is nice at this price range but if you have a better budget, go for other brands and dreadnought size...in small size guitar without trust rod like this it is very difficult to adjust the action. I have to taper my bridge several times but still my fingers hurts",14 October 2018
51,1.0,"Action (distance between string and fret board) is way too highAction is even greater than the distance between two strings.There is no truss rod so you can't change the action.I had to sand down the string rests on both end but still action is way too high.Not at all for beginners as the strings are way too hard to press down, and beginner would think that is how hard guitar is. pressing down any string with pinky finger is next to impossible.",23 February 2021
52,3.0,"This is my very first experience with a guitar. After using it for half a year, here's how I feel -Sound quality: I honestly didn't expect the guitar to sound this good. And it didn't, at first. But once I tuned it properly... Voila! It's rich, it's full, and one cannot possibly ask for more at this price! (Rating: 4.5/5)Build quality: The guitar's lightweight and doesn't feel very sturdy, however, apart from a few dents incurred due to accidental collisions with other objects, it's still in one piece. Being a budget offering, it doesn't have a truss rod, which makes the neck prone to bending, but I haven't had that happen to me yet. The strings are of low quality though and had begun to rust within the first fortnight itself. (Rating: 3.5/5)Comfort: This is one area where this guitar is absolute crap. Especially for a beginner. The action - or the distance between the strings and the fretboard - is a bit too much, making it that much harder for a newbie to master the art of playing a guitar. Even if you're determined enough to persist with it, there's no way you'll be able to play it for extended periods of time - without inflicting serious damage upon your fingers, that is. (Rating: 1.5/5)Final verdict: This is not meant for people who are serious about learning how to play a guitar. It's for those wanting to take a 'test drive' before committing fully to that idea. Or, if you're like me and just need a stress-buster (of the musical kind) to help you unwind after a long day at work - this guitar should suffice. It's nothing more, nothing less. (Overall rating: 3/5)",27 December 2018
53,2.0,It's only 2 month I bought this for my son. Suddenly I found the wood have been bend and it's not usable any more. I feel like cheated.,27 April 2019
54,3.0,Reasons why you should not buy this guitar* Strings are of poor quality*The gap between board and strings is large.* It gives extra strain (pain) to your fingers in comparison with other guitars.*Sound Quality is not as good as you expect.*Build Quality is poor.Reasons why you Should buy this Guitar* It is very cheap.* I looks good.* You are beginner and have tight budget.* At this price it is best.I have used this guitar for around 1 year. But it was never my first priority. Still you can't expect better at this price.,8 November 2019
55,2.0,"I purchased this two weeks back and it broke the string while I was tuning it. This would be my third guitar purchase but this one for my cousin to learn as a beginner and while it has not bad of a sound, It does feel pretty flimsy. It broke the E string on very first tuning. They do give extra set of strings but of course. Frets are subtle for beginners not to get their fingers busted by strings. Other than that, I don't see my cousin moving around a lot with it as carelessly as one should with their instrument. Feels like made of very thin wood.",16 January 2020
56,5.0,Best guitar to get started with. This is a bit small in size which is good for beginners as they can handle it better. Easy to play and sounds pleasing.Once you are good enough to play without looking at fretboard then good for better and bigger one.Made in china. Imported quality. Presentation is 5 star. You wont be disappointed.,3 October 2019
57,4.0,"The media could not be loaded.
                



 After some time the neck is going to bend and there is no truss rod to adjust. Due to this distance between strings and frets will increase. Would've given 5star if the product is included truss rod.",2 February 2022
58,4.0,The Guitar is very good in this price range but I just wonder how it survived the travel because the packaging was very bad and the outer package was torn very badly..... when I saw the package I thought there is no way the Guitar is intact inside but fortunately it was......,23 July 2020
59,5.0,"I got excited about guitars after I saw a few guitar videos and tutorials. I was not sure if I can maintain my interest in learning and playing guitar. Hence without much investment, I was looking for an average quality guitar.This guitar does the job, although the quality is definitely at par with Yahama or Faith guitars. If you are a pre-beginner and wants to learn the basic strumming, fingering and chords, this guitar will do the job. Once you reach a beginner or intermediate level, you can go ahead with better quality guitars.You also get extra set of strings, 2 picks and an average quality bag.I broke A string on the very first day while trying to tune the guitar, hence extra set of string comes handy. Be careful with tuning.If someone is a pro and has used quality guitars, they might find this guitar below average. But for pre-beginners like me, it just does the job.I got this for 2200 but I have seen a few people buying it for 1900 to 2100 as well. If you are getting it under 2500, its a fair deal I guess. Also you can have a look at Intern guitars as well which are also for pre-beginners.Overall happy with the product.",3 March 2021
60,1.0,"I am playing guitar for 17 years and I haven't seen a Bad guitar like this one ever.  This is not even a real guitar. It is simply a toy. The fretboard is a joke. It was arrived neck broken, never mind.  The quality is awful too. It is very light, the neck was loosely attached and the wood was very bad,I need a refund, I don't want replacment.Simply don't buy it. Waste of money.Re. The situation becomes pathetic when the refund part comes, they simply avoided pickup telling verification failure and didn't also replaced the order.  Nuisance is going on here.",22 January 2022
61,3.0,"I bought this guitar during lockdown oct 2019. It's kind of late as I'm writing this review (i have exams tommorow i don't know what Iam doing xD)So basically this guitar is a beginner guitar but in my opinion a beginner should not have any kind of Barrier blocking them to become a good guitarist and i think this guitar kind of makes the journey less fun, why? Because the sound quality is really very poor it also only has 18 frets, acoustic guitars have 20. It shouldn't really make a difference since you wouldn't be playing that high when first starting out until you reach 1-2 years.TLDR: try to push your budget a bit more and consider buying a dreadnought guitar. Iam altho very grateful for having this as my first Guitar, it taught me how to maintain my guitar.",13 May 2022
62,4.0,"The media could not be loaded.
                



 Depends on your learning aptitude",27 February 2022
63,1.0,"People would think that it’s a steal at just Rs. 5000 but in reality they just steal your money. This thing is just a piece of wood with strings. 3 of them broke when I was tuning it for the first time, and it never sounded accurate.You can call it a beginners guitar if you don’t really care about the perfect sound and just want to get comfortable strumming and learning new notes.",6 February 2020
64,3.0,"I was using this guitar for more than 6 months and I didn't found any problem for beginners.Yes it has some mistakes while making the guitar such as high distance between the fretboard and strings, dots on the guitar, total number of frets, hardness of strings, scratches on the body, small dent on body etc. But what you can expect to get in 2000rs.Still It is good for beginners who have small budget for learning the guitar. You can purchase this guitar for learning the basics and can use it for maximum 4 to 5 months and then move on for Yamaha, Cort or Fender guitars.",14 May 2019
65,4.0,"The first one that arrived - the neck was completely broken in to two. So before you receive the package, check package integrity. Mine was looking ok, but still I can see a dent marks in the neck area where the guitar was broken.Amazon picked my broken guitar and immediately replaced it with the new one in no time.When they picked the old one, I was looking for the Neck Band, Extra Strings and Strummer. They were not found. But then only when I got the new guitar I realised they were inside the guitar bag's side pocket. The moment I opened the cardboard box, I knew the neck was broken before I can take the guitar out of the box - just via the transparent polythene package.So thanks to Amazon for replacing it quickly, but at the same time, caution to those who are ordering this guitar to just pay attention to the package detail and inform the delivery person in advance. I don't think we can do nothing else but just give an attempt for replacing the guitar.",16 April 2021
66,2.0,This product is inconsistency in action. If two people buy this same guitar they can get different action that too with huge difference. The first time i got this action was 5mm for 1st string and that is too high to begin with. I went for replacement and the product i got for replacement had 6mm action. So I would suggest not to waste yout money on these kinds of guitar. Even if you are a beginner and if you can spend 2-3K extra then plz buy a good guitar in 5K segment. This I would not suggest to anyone. As the action is high you will face a lot of difficulty in pressing the strings.,11 October 2021
67,2.0,"Hi guys,This guitar is not a bad guitarOnly if you feel like you wanna experiment with playing guitarBut I do not recommend it if you're extremely serious about taking up guitar.There are amazing guitar s if you increase your price range a bit (maybe 4000 rupees). Because this guitar only has 19 frets and is extremely hard to okay because of high action. The tuning legs are of low quality and sound quality is average at bestPlease think about buying guitar s from bands like kaps, kadence or even Yamaha (the f310 is an amazing choice for everyone)Hope I was helpful.",2 January 2020
68,5.0,"The media could not be loaded.
                



 Cover, strap, extra wire. Tuner and perfect at the rates. This is a review after 2 years. No breakage in wood or wire. Very popular in social media, hobbyists, and learning students",13 November 2020
69,5.0,"this guitar is really osm.....sound quality is amezingggg..packeging is unbheliveable.just care fully tuned means slowly one's  and aftar that play how you want.look,colour,sound,packeging,qulity is no one can give in this price..and 2000Rs for this product its ok im happy with that..😍😍😍😍😍😍my dreems comes true",23 June 2019
70,3.0,I was searching for a good guitar and I found this one. The reviews were good. But the wasn't too good. It's just average. This is my detailed review.ProsIt is very cheap.Good colour and attractive bodyConsI have seen many reviews saying that it is good for beginners. But it is not. It's action is very high and it will be difficult to play this . For those who don't know what action is it is the distance between strings and fret. It is very high which makes it difficult to play.Also it is getting out of tune very frequently.If you can buy a better one please do.If this your only choice then it's up to you,9 August 2020
71,4.0,Very good for a beginner.Guitar is superb.Tune it with somebody whose professional or use Guitar Tuna app. Or Yousician.I only have a problem with the guitar cover the straps are weak and the cover is of cheap quality. Weak stitches.Could charge a bit extra and provide quality cover and a stand and tuner .That would make it a perfect deal.But then in 2000 it's fine. Can get the cover stitched.Overall happy with the purchase.,20 June 2020
72,2.0,"While tuning with guitar tuning app the E stainless string, which is the shortest first came lose then broke from the bottom side. Its Good that they have spare strings already given. Poor quality strings.Sound is good. Everything is okay.Guitar (beginners) 5/5Strings quality 2/5 (go for nylon strings)Sound. (5/5)Experience (3/5)Great quality except for stainless strings.",25 October 2019
73,1.0,"Do not buy this product, even if you're an absolute beginner!I received this guitar yesterday and immediately learnt that the guitar action is too high. For those who don't know what guitar action is: it is the distance between a string and the fretboard of the guitar. While guitars are meant to have 0.2-0.25 mm of action ideally, the one I received had it as 0.5mm, making it unplayable. As a beginner you may not notice this right away, but playing anything on this guitar will be impossible for you and you'll wonder if something is wrong with you.I have ordered a replacement from Amazon, will update my review based on the replacement guitar.PS: you cannot adjust this without taking it to a shop, which will cost you a lot. It's better to just add a bit to your budget and get a better, playable guitar at 6-7k.",26 September 2020
74,4.0,"Good quality guitar... However the string quality isn't very durable .. the first string broke on tuning and when replaced by the extra set of strings ...It broke again... Had to buy from a music store... However... My guitar ""sir"" did say that the quality of the guitar was good except that there is a certain level of buzzing that the strings produced in initially... It did fade away with time.... and especially since it came with guitar case and picks etc... It is value for money. Only my first string has broken... The others are still intact... So hence giving 4 stars for this product... I would recommend it to beginners to buy it. Have been using it for more than a month now",27 June 2019
75,5.0,"Very good guitar specially if u are a beginner. Nothing can beat the value for money spent on this one. Smooth finish, sturdy strings, good sound. Just got one yesterday..have to see long long it lasts.",25 September 2017
76,5.0,I have been using this guitar for a month now and it’s going good. Sound is okish and quality is not so bad either when you look at how inexpensive this is. I am a beginner so didn’t want to spend much on a guitar at this stage so bought it based on the reviews. Overall a good quality inexpensive guitar.,10 March 2019
77,3.0,The first guitar which I received had crack on its neck. As soon as I started tuning it the crack got widened up. So I asked for an exchange. Within 2 days I got exchange product which has a dent and small crack on the bottom part. I asked for exchange but they refused saying an order can be replaced only once. They are ok to give me a full refund by returning guitar. But I'm not sure I'll get an guitar with an offer price of 1700 in future. So I'm ok with it since damage is minimal and does not affect the tuning.Sound quality is goodStrings are not good. Better to change it with good grade strings.Product packaging and making is not all upto the mark. Guitar has cracks or damage in any one of the place.Overall a good guitar for a beginner untill he learns to play in a short period of time,26 January 2022
78,1.0,"Do not buy this product, I repeat ""DO NOT"". The strings are absolutely the worst quality, and the distance between the fret and the strings are too much. This causes extreme pain to your fingers. I wanted to learn a guitar and thought I would go for a good/cheap guitar. And this guitar completely killed my enthusiasm to learn the instrument. I hope you guys don't get scammed like I do.",13 March 2020
79,3.0,"For someone who wants to seriously learn, may be you can spend a bit more.My main problem with this is that the Fret to String distance(Action) is too much!The frets are almost flat to the board and hence you need to press hard.Its difficult to play Barre chords due to the requirement of pressing the string too hard.",21 November 2019
80,3.0,"First off, this is an insanely cheap product. So keep that in mind. The fretboard is completely flat so it's really hard to play bar chords.The sound quality is okay at best. The steel strings are really poor and both pairs snapped very quickly for me. But that was okay since a good set will only cost you ₹350. If you are not sure about investing in a good guitar yet, this is will do the job.",18 July 2019
81,5.0,"Actually this is one of the best product with such a reasonable price, and with such a satisfactory outputs, sound is too good , the bagg is of medium quality, you gets 2 picks, and a set of stringstoo , soo to sum up you are geeting a big deal, don't miss it!This is not for pro level guitarist and for any experienced one, this is just in sake of learning and later you may buy a better product than this which are slightly costly",23 August 2020
82,3.0,This guitar was initially delivered with broken strings.the eagerly awaited replacement came but the base was unstuck in sich a way as to make it impossible to use. Very disappointing gift for my grandson. Still hoping this time the problem is sorted and he receivesa good guitar,4 February 2021
83,4.0,"Look guitar is good according to the price but there are some thing i dont like it example...I don't got any pick, guitar is like used color is removing n dots r not same as shown and also the most important part sound is not good of the guitar but if u r very beginner then its good n if u want to tune this guitar with tunner form app then please dont try it u will end it brokening all the string.... Tell wid experience just set it manually.... Still giving 4 stars for cheap product and delivery on time..",11 December 2018
84,1.0,First of all quality of strong is not good. Extra wires are damaged.Most- horrible return. It has been more than 10 days and no one came to collect it. I have been calling amazon customer care and getting false promises.DO NOT EVER BYE THIS PRODUCT. You have lots of options outside.,10 October 2019
85,5.0,I have started learning guitar 6 months ago and I am glad i selected this one. I brought it to impress my crush. I wanted to play her favourite Enrique song (Somebody's me). The quality of this product is ultra good for biggenners. (Especially if you are only aiming to learn handful of songs). It was super difficult in the beginning but I have learned 5 songs till now. This guitar has served it's purpose ☺️.,10 September 2020
86,5.0,The media could not be loaded.,18 December 2021
87,2.0,Price ans make is perfect for beginners but the G string was faulty in the Guitar I got. Despite taking to various shops the same could not be tuned and as a result guitar is of no use.Pls consult a guitarist before buying rather going for the price attraction.,1 October 2021
88,3.0,"It looks good and is suitable for beginners. But the bag is of inferior quality. It didn't fit, was smaller and the zipper came off immediately. Since there is no option to only exchange the bag, I didn't bother. But my daughter is happy with the guitar. The sound is good and proper.",8 September 2021
89,5.0,"THIS IS THE BEST GUITAR EVER. I JUST LOVE THIS GUITAR. THIS IS THE BEST GUITAR EVER. I JUST LOVE THE PACKING AND I WAS ABSOLUTELY AMAZED TO RECEIVE SUCH A DETAILED INSTRUCTION GUIDE ALONG WITH THREE PICKS, SIX EXTRA STRINGS AND THE BAG IS JUST AWESOME. TOTALLY RECOMMEND THIS GUITAR. JUAREZ ACOUSTIC GUITAR IS THE BEST.",14 September 2021
